約定履歴照会 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了,,,,,,,,
すべての商品,2024年12月5日,2026年1月4日,273,1,273,,,,,,,,
,,,,,,,,,,,,,
（注）明細数はご指定された期間の合計です。,,,,,,,,,,,,,
,,,,,,,,,,,,,
約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
2024/12/6,村田製作所,6981,東証,信用新規売,6ヶ月, 特定 ,--,100,2510.5,--,--,2024/12/10,--
2024/12/6,住友商事,8053,東証,信用新規売,6ヶ月, 特定 ,--,200,3246,--,--,2024/12/10,--
2024/12/6,住友商事,8053,東証,信用返済売,6ヶ月, 特定 ,申告,100,3246,152,--,2024/12/10,-7552
2024/12/10,村田製作所,6981,東証,信用新規買,6ヶ月, 特定 ,--,100,2529,--,--,2024/12/12,--
2024/12/10,住友商事,8053,東証,信用新規買,6ヶ月, 特定 ,--,100,3357,--,--,2024/12/12,--
2024/12/10,村田製作所,6981,東証,信用返済買,6ヶ月, 特定 ,申告,100,2529,162,--,2024/12/12,3038
2024/12/11,村田製作所,6981,東証,信用返済売,6ヶ月, 特定 ,申告,100,2529.5,38,--,2024/12/13,12
2024/12/11,村田製作所,6981,東証,信用返済売,6ヶ月, 特定 ,申告,100,2529.5,176,--,2024/12/13,-2526
2024/12/12,村田製作所,6981,東証,信用新規買,6ヶ月, 特定 ,--,100,2550,--,--,2024/12/16,--
2024/12/12,村田製作所,6981,東証,信用返済買,6ヶ月, 特定 ,申告,100,2550,192,--,2024/12/16,908
2024/12/13,村田製作所,6981,東証,信用新規売,6ヶ月, 特定 ,--,100,2493,--,--,2024/12/17,--
2024/12/13,住友商事,8053,東証,信用新規売,6ヶ月, 特定 ,--,100,3337,--,--,2024/12/17,--
2024/12/16,住友商事,8053,東証,信用返済買,6ヶ月, 特定 ,申告,100,3332,20,--,2024/12/18,480
2024/12/17,住友商事,8053,東証,信用新規売,6ヶ月, 特定 ,--,100,3291,--,--,2024/12/19,--
